label,description,score_type,weight,severity
"Adviser introduced self, Trust Point, and purpose of call","Opening: Did the adviser introduce themselves by name, state they are calling from Trust Point Mortgage and Protection Services, and explain the purpose of the call?",binary,1,low
Explained the call is to review the customer's protection needs,Opening: Did the adviser explain they are calling to understand the customer's situation and see what protection cover may be suitable?,binary,1,low
Stated Trust Point is authorised and regulated by the FCA,Regulatory (word-for-word): Did the adviser state that Trust Point Mortgage and Protection Services is authorised and regulated by the FCA?,binary,1,high
"Confirmed fully-advised, whole-of-market, no fee",Regulatory (word-for-word): Did the adviser confirm they work on a fully advised basis with all major insurers/lenders and do not charge a fee for the service?,binary,1,high
Gave the call-recording disclosure,Regulatory (word-for-word): Did the adviser confirm that all calls are recorded for training and monitoring purposes?,binary,1,high
Set expectations for the fact-find,"Opening: Did the adviser explain they will ask about circumstances, financial commitments, income, family situation and existing cover before advising?",binary,1,low
Informed customer of the services the company provides,Mandatory services: Did the adviser inform the customer of the services the company provides while finalising details?,binary,1,medium
Told customer key facts & services sent by email,"Mandatory services: Did the adviser say that if a policy is arranged, the full key facts document and services provided will be sent by email?",binary,1,medium
Mentioned policy can be placed in Trust free of charge,Next steps: Did the adviser mention the policy can be put into Trust free of charge where applicable?,binary,1,low
Explained data sharing with insurer & verification provider and sought agreement,"Data sharing: Did the adviser explain information is shared with the insurer and external verification provider only, never passed elsewhere, and ask if that is alright?",binary,1,high
Obtained a clear 'yes' to information sharing (hard consent),Consent (hard yes required): Did the adviser obtain an explicit 'yes' from the customer to the information-sharing statement before proceeding?,binary,1,critical
Covered cancellation rights and privacy policy,Cancellation: Did the adviser say the policy can be cancelled at any time and reference the privacy policy on the website?,binary,1,medium
Delivered the vulnerability / duty-of-care statement,"Vulnerability (Consumer Duty): Did the adviser deliver the duty-of-care statement, mention vulnerability, and offer the 'Support When You Need It Most' brochure?",binary,1,high
Summarised the client's main risks and confirmed agreement,Needs summary: Did the adviser summarise the client's main areas of concern/risk and confirm the client agrees before moving to the recommendation?,binary,1,medium
Gave the recommendation and checked 'have I got that right?',Recommendation (word-for-word): Did the adviser state the areas of concern / recommendation and check 'have I got that right?',binary,1,high
Obtained a clear 'yes' to the recommendation (hard consent),Consent (hard yes required): Did the adviser obtain an explicit 'yes' confirming the recommendation before continuing?,binary,1,critical
Explained policy features & benefits,"Features & benefits: Did the adviser explain the product(s), insurer, cover amount, term, premium and why it fits the client's circumstances?",binary,1,high
Gave the honesty/accuracy & non-disclosure warning,Regulatory (word-for-word): Did the adviser warn that questions must be answered honestly and accurately and that inaccuracies could invalidate the policy or affect a claim?,binary,1,critical
Explained possible GP contact / 1-in-10 checks,Underwriting: Did the adviser explain providers may contact the GP for a medical report or run 1-in-10 application checks?,binary,1,medium
Sought consent for insurer to contact the GP,Consent: Did the adviser ask whether the customer is happy for the provider to contact their GP if needed?,binary,1,high
Asked if client wants to see the GP report first,Consent: Did the adviser ask whether the client wants to see a copy of any GP report before it is sent to the provider?,binary,1,medium
Allowed the customer to answer every H&L question themselves,Health & Lifestyle: Did the adviser allow the customer to answer every Health & Lifestyle question themselves?,binary,1,high
Did NOT lead the customer in their H&L answers,Health & Lifestyle (integrity): Did the adviser avoid leading the customer in their Health & Lifestyle answers? Fail if the adviser steered or suggested answers.,binary,1,critical
Gave the wrap-up recap intro,"Wrap-up: Did the adviser introduce the wrap-up (recap recommendation, confirm outcome, confirm what is being put in place, explain next steps)?",binary,1,low
Recapped the recommendation after the H&L application,"Recommendation recap: Did the adviser recap the recommendation (product, insurer, suitability) after completing the Health & Lifestyle questions?",binary,1,medium
Confirmed the recap still matches what the client wanted (hard consent),Consent (hard yes required): Did the adviser confirm the recap is still clear and matches what the client wanted to achieve?,binary,1,high
Explained add-ons & key policy features,"Add-ons & key features: Did the adviser explain any add-ons (e.g. waiver of premium) and key points such as exclusions, moratorium, waiting/deferred period or special limitations?",binary,1,high
Checked 'is that all clear?' on add-ons / key features,Add-ons & key features: Did the adviser check the customer understood the add-ons and key features ('is that all clear?')?,binary,1,medium
"Confirmed happy with cover, premium and everything applied for (hard consent)","Consent (hard yes required): Did the adviser confirm the client is happy with the cover, the premium and everything applied for?",binary,1,critical
Took the customer's preferred payment date,Payment date: Did the adviser take the customer's preferred regular payment date (1st-28th of the month)?,binary,1,medium
Confirmed documents by email and got a firm yes,Documents: Did the adviser confirm policy documents will be sent by email and obtain a firm yes? Proceed only on a clear yes.,binary,1,high
Explained exclusions and 30-day cancellation rights,Exclusions & cancellation (word-for-word): Did the adviser explain that the policy may not pay out in some circumstances (e.g. suicide in first 12 months / inaccurate info) and that there are normally 30 days to cancel without penalty?,binary,1,high
Reassured on future support,"Future support: Did the adviser reassure the client about ongoing support (personal broker, welcome pack by email, future cover review)?",binary,1,low
Asked for a Google review,Google review: Did the adviser ask the customer for a Google review (only where the customer was happy)?,binary,1,low
Made the friends & family referral ask,Referral: Did the adviser ask whether anyone else might benefit from a protection review and mention the £30 referral voucher?,binary,1,low
Raised will / estate planning where appropriate,"Estate planning: Where the client has no will, did the adviser raise estate planning and offer a follow-up with an estate planning colleague?",binary,1,low
Confirmed the client is happy with the service (hard consent),Final close (hard yes required): Did the adviser confirm the client is happy with the service / policy arranged today?,binary,1,high
Closed properly and invited final questions,Final close: Did the adviser explain they are about to start/submit the policy/application and invite any final questions before doing so?,binary,1,medium
Clearly stated the application has been referred,Application outcome (Referred): Did the adviser clearly state the application has been referred for further underwriting and not yet declined?,binary,1,high
Explained the policy is not active yet and possible outcomes,"Application outcome (Referred): Did the adviser explain the policy is NOT active yet, there is no final decision/premium/start/payment date, and the insurer may accept, amend, request more info or decline?",binary,1,critical
Took bank details making clear policy not active / no payment taken,"Direct Debit (Referred): Did the adviser take the sort code/account number for if the policy proceeds, while making clear the policy is not active yet and no payment will be taken unless accepted and started?",binary,1,high
